"","date","frequency","y","m","d","date2","dow"
"464","10032011",39,2011,3,10,2011-03-10,"Thursday"
"465","10032012",37,2012,3,10,2012-03-10,"Saturday"
"466","10032013",43,2013,3,10,2013-03-10,"Sunday"
"467","10032014",57,2014,3,10,2014-03-10,"Monday"
"468","10042010",1,2010,4,10,2010-04-10,"Saturday"
"469","10042011",42,2011,4,10,2011-04-10,"Sunday"
"470","10042012",51,2012,4,10,2012-04-10,"Tuesday"
"471","10042013",68,2013,4,10,2013-04-10,"Wednesday"
"472","10042014",44,2014,4,10,2014-04-10,"Thursday"
"473","10052010",3,2010,5,10,2010-05-10,"Monday"
"474","10052011",56,2011,5,10,2011-05-10,"Tuesday"
"475","10052012",38,2012,5,10,2012-05-10,"Thursday"
"476","10052013",71,2013,5,10,2013-05-10,"Friday"
"477","10052014",2,2014,5,10,2014-05-10,"Saturday"
"478","10062010",5,2010,6,10,2010-06-10,"Thursday"
"479","10062011",38,2011,6,10,2011-06-10,"Friday"
"480","10062012",56,2012,6,10,2012-06-10,"Sunday"
"481","10062013",71,2013,6,10,2013-06-10,"Monday"
"482","10072010",2,2010,7,10,2010-07-10,"Saturday"
"483","10072011",34,2011,7,10,2011-07-10,"Sunday"
"484","10072012",64,2012,7,10,2012-07-10,"Tuesday"
"485","10072013",82,2013,7,10,2013-07-10,"Wednesday"
"486","10082010",9,2010,8,10,2010-08-10,"Tuesday"
"487","10082011",37,2011,8,10,2011-08-10,"Wednesday"
"488","10082012",41,2012,8,10,2012-08-10,"Friday"
"489","10082013",76,2013,8,10,2013-08-10,"Saturday"
"490","10092009",1,2009,9,10,2009-09-10,"Thursday"
"491","10092010",3,2010,9,10,2010-09-10,"Friday"
"492","10092011",43,2011,9,10,2011-09-10,"Saturday"
"493","10092012",70,2012,9,10,2012-09-10,"Monday"
"494","10092013",74,2013,9,10,2013-09-10,"Tuesday"
"495","10102010",3,2010,10,10,2010-10-10,"Sunday"
"496","10102011",38,2011,10,10,2011-10-10,"Monday"
"497","10102012",66,2012,10,10,2012-10-10,"Wednesday"
"498","10102013",62,2013,10,10,2013-10-10,"Thursday"
"499","10112010",10,2010,11,10,2010-11-10,"Wednesday"
"500","10112011",50,2011,11,10,2011-11-10,"Thursday"
"501","10112012",71,2012,11,10,2012-11-10,"Saturday"
"502","10112013",40,2013,11,10,2013-11-10,"Sunday"
"503","10122009",1,2009,12,10,2009-12-10,"Thursday"
"504","10122010",34,2010,12,10,2010-12-10,"Friday"
"505","10122011",35,2011,12,10,2011-12-10,"Saturday"
"506","10122012",68,2012,12,10,2012-12-10,"Monday"
"507","10122013",50,2013,12,10,2013-12-10,"Tuesday"
"508","11012010",2,2010,1,11,2010-01-11,"Monday"
"509","11012011",18,2011,1,11,2011-01-11,"Tuesday"
"510","11012012",67,2012,1,11,2012-01-11,"Wednesday"
"511","11012013",83,2013,1,11,2013-01-11,"Friday"
"512","11012014",46,2014,1,11,2014-01-11,"Saturday"
"513","11022011",39,2011,2,11,2011-02-11,"Friday"
"514","11022012",23,2012,2,11,2012-02-11,"Saturday"
"515","11022013",54,2013,2,11,2013-02-11,"Monday"
"516","11022014",46,2014,2,11,2014-02-11,"Tuesday"
"517","11032011",47,2011,3,11,2011-03-11,"Friday"
"518","11032012",70,2012,3,11,2012-03-11,"Sunday"
"519","11032013",82,2013,3,11,2013-03-11,"Monday"
"520","11032014",48,2014,3,11,2014-03-11,"Tuesday"
"521","11042011",60,2011,4,11,2011-04-11,"Monday"
"522","11042012",61,2012,4,11,2012-04-11,"Wednesday"
"523","11042013",109,2013,4,11,2013-04-11,"Thursday"
"524","11042014",53,2014,4,11,2014-04-11,"Friday"
"525","11052010",1,2010,5,11,2010-05-11,"Tuesday"
"526","11052011",37,2011,5,11,2011-05-11,"Wednesday"
"527","11052012",71,2012,5,11,2012-05-11,"Friday"
"528","11052013",48,2013,5,11,2013-05-11,"Saturday"
"529","11052014",2,2014,5,11,2014-05-11,"Sunday"
"530","11062010",8,2010,6,11,2010-06-11,"Friday"
"531","11062011",24,2011,6,11,2011-06-11,"Saturday"
"532","11062012",52,2012,6,11,2012-06-11,"Monday"
"533","11062013",69,2013,6,11,2013-06-11,"Tuesday"
"534","11072010",2,2010,7,11,2010-07-11,"Sunday"
"535","11072011",53,2011,7,11,2011-07-11,"Monday"
"536","11072012",63,2012,7,11,2012-07-11,"Wednesday"
"537","11072013",74,2013,7,11,2013-07-11,"Thursday"
"538","11082010",3,2010,8,11,2010-08-11,"Wednesday"
"539","11082011",43,2011,8,11,2011-08-11,"Thursday"
"540","11082012",53,2012,8,11,2012-08-11,"Saturday"
"541","11082013",64,2013,8,11,2013-08-11,"Sunday"
"542","11092010",2,2010,9,11,2010-09-11,"Saturday"
"543","11092011",33,2011,9,11,2011-09-11,"Sunday"
"544","11092012",85,2012,9,11,2012-09-11,"Tuesday"
"545","11092013",96,2013,9,11,2013-09-11,"Wednesday"
"546","11102010",10,2010,10,11,2010-10-11,"Monday"
"547","11102011",43,2011,10,11,2011-10-11,"Tuesday"
"548","11102012",54,2012,10,11,2012-10-11,"Thursday"
"549","11102013",62,2013,10,11,2013-10-11,"Friday"
"550","11112009",1,2009,11,11,2009-11-11,"Wednesday"
"551","11112010",14,2010,11,11,2010-11-11,"Thursday"
"552","11112011",39,2011,11,11,2011-11-11,"Friday"
"553","11112012",40,2012,11,11,2012-11-11,"Sunday"
"554","11112013",35,2013,11,11,2013-11-11,"Monday"
"555","11122009",1,2009,12,11,2009-12-11,"Friday"
"556","11122010",27,2010,12,11,2010-12-11,"Saturday"
"557","11122011",51,2011,12,11,2011-12-11,"Sunday"
"558","11122012",50,2012,12,11,2012-12-11,"Tuesday"
"559","11122013",49,2013,12,11,2013-12-11,"Wednesday"
"560","12012011",31,2011,1,12,2011-01-12,"Wednesday"
"561","12012012",44,2012,1,12,2012-01-12,"Thursday"
"562","12012013",66,2013,1,12,2013-01-12,"Saturday"
"563","12012014",49,2014,1,12,2014-01-12,"Sunday"
"564","12022011",23,2011,2,12,2011-02-12,"Saturday"
"565","12022012",31,2012,2,12,2012-02-12,"Sunday"
"566","12022013",85,2013,2,12,2013-02-12,"Tuesday"
"567","12022014",50,2014,2,12,2014-02-12,"Wednesday"
"568","12032011",28,2011,3,12,2011-03-12,"Saturday"
"569","12032012",52,2012,3,12,2012-03-12,"Monday"
"570","12032013",71,2013,3,12,2013-03-12,"Tuesday"
"571","12032014",29,2014,3,12,2014-03-12,"Wednesday"
"572","12042010",1,2010,4,12,2010-04-12,"Monday"
"573","12042011",37,2011,4,12,2011-04-12,"Tuesday"
"574","12042012",60,2012,4,12,2012-04-12,"Thursday"
"575","12042013",82,2013,4,12,2013-04-12,"Friday"
"576","12042014",50,2014,4,12,2014-04-12,"Saturday"
"577","12052010",3,2010,5,12,2010-05-12,"Wednesday"
"578","12052011",46,2011,5,12,2011-05-12,"Thursday"
"579","12052012",45,2012,5,12,2012-05-12,"Saturday"
"580","12052013",56,2013,5,12,2013-05-12,"Sunday"
"581","12062010",9,2010,6,12,2010-06-12,"Saturday"
"582","12062011",35,2011,6,12,2011-06-12,"Sunday"
"583","12062012",82,2012,6,12,2012-06-12,"Tuesday"
"584","12062013",76,2013,6,12,2013-06-12,"Wednesday"
"585","12072010",4,2010,7,12,2010-07-12,"Monday"
"586","12072011",39,2011,7,12,2011-07-12,"Tuesday"
"587","12072012",83,2012,7,12,2012-07-12,"Thursday"
"588","12072013",79,2013,7,12,2013-07-12,"Friday"
"589","12082010",6,2010,8,12,2010-08-12,"Thursday"
"590","12082011",41,2011,8,12,2011-08-12,"Friday"
"591","12082012",42,2012,8,12,2012-08-12,"Sunday"
"592","12082013",61,2013,8,12,2013-08-12,"Monday"
"593","12092010",1,2010,9,12,2010-09-12,"Sunday"
"594","12092011",52,2011,9,12,2011-09-12,"Monday"
"595","12092012",76,2012,9,12,2012-09-12,"Wednesday"
"596","12092013",83,2013,9,12,2013-09-12,"Thursday"
"597","12102010",4,2010,10,12,2010-10-12,"Tuesday"
"598","12102011",46,2011,10,12,2011-10-12,"Wednesday"
"599","12102012",53,2012,10,12,2012-10-12,"Friday"
"600","12102013",56,2013,10,12,2013-10-12,"Saturday"
"601","12112010",15,2010,11,12,2010-11-12,"Friday"
"602","12112011",57,2011,11,12,2011-11-12,"Saturday"
"603","12112012",52,2012,11,12,2012-11-12,"Monday"
"604","12112013",54,2013,11,12,2013-11-12,"Tuesday"
"605","12122010",14,2010,12,12,2010-12-12,"Sunday"
"606","12122011",61,2011,12,12,2011-12-12,"Monday"
"607","12122012",40,2012,12,12,2012-12-12,"Wednesday"
"608","12122013",45,2013,12,12,2013-12-12,"Thursday"
"609","13012011",20,2011,1,13,2011-01-13,"Thursday"
"610","13012012",39,2012,1,13,2012-01-13,"Friday"
"611","13012013",46,2013,1,13,2013-01-13,"Sunday"
"612","13012014",39,2014,1,13,2014-01-13,"Monday"
"613","13022011",21,2011,2,13,2011-02-13,"Sunday"
"614","13022012",47,2012,2,13,2012-02-13,"Monday"
"615","13022013",62,2013,2,13,2013-02-13,"Wednesday"
"616","13022014",70,2014,2,13,2014-02-13,"Thursday"
"617","13032011",35,2011,3,13,2011-03-13,"Sunday"
"618","13032012",71,2012,3,13,2012-03-13,"Tuesday"
"619","13032013",86,2013,3,13,2013-03-13,"Wednesday"
"620","13032014",37,2014,3,13,2014-03-13,"Thursday"
"621","13042011",40,2011,4,13,2011-04-13,"Wednesday"
"622","13042012",74,2012,4,13,2012-04-13,"Friday"
"623","13042013",62,2013,4,13,2013-04-13,"Saturday"
"624","13042014",37,2014,4,13,2014-04-13,"Sunday"
"625","13052010",3,2010,5,13,2010-05-13,"Thursday"
"626","13052011",35,2011,5,13,2011-05-13,"Friday"
"627","13052012",47,2012,5,13,2012-05-13,"Sunday"
"628","13052013",76,2013,5,13,2013-05-13,"Monday"
"629","13052014",1,2014,5,13,2014-05-13,"Tuesday"
"630","13062010",5,2010,6,13,2010-06-13,"Sunday"
"631","13062011",49,2011,6,13,2011-06-13,"Monday"
"632","13062012",60,2012,6,13,2012-06-13,"Wednesday"
"633","13062013",67,2013,6,13,2013-06-13,"Thursday"
"634","13072010",9,2010,7,13,2010-07-13,"Tuesday"
"635","13072011",35,2011,7,13,2011-07-13,"Wednesday"
"636","13072012",71,2012,7,13,2012-07-13,"Friday"
"637","13072013",87,2013,7,13,2013-07-13,"Saturday"
"638","13082010",15,2010,8,13,2010-08-13,"Friday"
"639","13082011",29,2011,8,13,2011-08-13,"Saturday"
"640","13082012",66,2012,8,13,2012-08-13,"Monday"
"641","13082013",89,2013,8,13,2013-08-13,"Tuesday"
"642","13092010",8,2010,9,13,2010-09-13,"Monday"
"643","13092011",75,2011,9,13,2011-09-13,"Tuesday"
"644","13092012",69,2012,9,13,2012-09-13,"Thursday"
"645","13092013",76,2013,9,13,2013-09-13,"Friday"
"646","13102010",13,2010,10,13,2010-10-13,"Wednesday"
"647","13102011",24,2011,10,13,2011-10-13,"Thursday"
"648","13102012",36,2012,10,13,2012-10-13,"Saturday"
"649","13102013",80,2013,10,13,2013-10-13,"Sunday"
"650","13112009",1,2009,11,13,2009-11-13,"Friday"
"651","13112010",2,2010,11,13,2010-11-13,"Saturday"
"652","13112011",34,2011,11,13,2011-11-13,"Sunday"
"653","13112012",49,2012,11,13,2012-11-13,"Tuesday"
"654","13112013",47,2013,11,13,2013-11-13,"Wednesday"
"655","13122010",19,2010,12,13,2010-12-13,"Monday"
"656","13122011",34,2011,12,13,2011-12-13,"Tuesday"
"657","13122012",56,2012,12,13,2012-12-13,"Thursday"
"658","13122013",46,2013,12,13,2013-12-13,"Friday"
"659","14012011",22,2011,1,14,2011-01-14,"Friday"
"660","14012012",43,2012,1,14,2012-01-14,"Saturday"
"661","14012013",66,2013,1,14,2013-01-14,"Monday"
"662","14012014",55,2014,1,14,2014-01-14,"Tuesday"
"663","14022011",26,2011,2,14,2011-02-14,"Monday"
"664","14022012",38,2012,2,14,2012-02-14,"Tuesday"
"665","14022013",78,2013,2,14,2013-02-14,"Thursday"
"666","14022014",50,2014,2,14,2014-02-14,"Friday"
"667","14032011",32,2011,3,14,2011-03-14,"Monday"
"668","14032012",86,2012,3,14,2012-03-14,"Wednesday"
"669","14032013",77,2013,3,14,2013-03-14,"Thursday"
"670","14032014",51,2014,3,14,2014-03-14,"Friday"
"671","14042010",1,2010,4,14,2010-04-14,"Wednesday"
"672","14042011",47,2011,4,14,2011-04-14,"Thursday"
"673","14042012",53,2012,4,14,2012-04-14,"Saturday"
"674","14042013",52,2013,4,14,2013-04-14,"Sunday"
"675","14042014",39,2014,4,14,2014-04-14,"Monday"
"676","14052010",3,2010,5,14,2010-05-14,"Friday"
"677","14052011",15,2011,5,14,2011-05-14,"Saturday"
"678","14052012",69,2012,5,14,2012-05-14,"Monday"
"679","14052013",74,2013,5,14,2013-05-14,"Tuesday"
"680","14052014",4,2014,5,14,2014-05-14,"Wednesday"
"681","14062010",2,2010,6,14,2010-06-14,"Monday"
"682","14062011",45,2011,6,14,2011-06-14,"Tuesday"
"683","14062012",56,2012,6,14,2012-06-14,"Thursday"
"684","14062013",59,2013,6,14,2013-06-14,"Friday"
"685","14072010",5,2010,7,14,2010-07-14,"Wednesday"
"686","14072011",35,2011,7,14,2011-07-14,"Thursday"
"687","14072012",50,2012,7,14,2012-07-14,"Saturday"
"688","14072013",80,2013,7,14,2013-07-14,"Sunday"
"689","14082010",17,2010,8,14,2010-08-14,"Saturday"
"690","14082011",50,2011,8,14,2011-08-14,"Sunday"
"691","14082012",55,2012,8,14,2012-08-14,"Tuesday"
"692","14082013",77,2013,8,14,2013-08-14,"Wednesday"
"693","14092009",1,2009,9,14,2009-09-14,"Monday"
"694","14092010",5,2010,9,14,2010-09-14,"Tuesday"
"695","14092011",35,2011,9,14,2011-09-14,"Wednesday"
"696","14092012",48,2012,9,14,2012-09-14,"Friday"
"697","14092013",94,2013,9,14,2013-09-14,"Saturday"
"698","14102010",8,2010,10,14,2010-10-14,"Thursday"
"699","14102011",38,2011,10,14,2011-10-14,"Friday"
"700","14102012",27,2012,10,14,2012-10-14,"Sunday"
"701","14102013",59,2013,10,14,2013-10-14,"Monday"
"702","14112010",1,2010,11,14,2010-11-14,"Sunday"
"703","14112011",47,2011,11,14,2011-11-14,"Monday"
"704","14112012",34,2012,11,14,2012-11-14,"Wednesday"
"705","14112013",56,2013,11,14,2013-11-14,"Thursday"
"706","14122009",1,2009,12,14,2009-12-14,"Monday"
"707","14122010",16,2010,12,14,2010-12-14,"Tuesday"
"708","14122011",51,2011,12,14,2011-12-14,"Wednesday"
"709","14122012",69,2012,12,14,2012-12-14,"Friday"
"710","14122013",42,2013,12,14,2013-12-14,"Saturday"
"711","15012011",21,2011,1,15,2011-01-15,"Saturday"
"712","15012012",25,2012,1,15,2012-01-15,"Sunday"
"713","15012013",68,2013,1,15,2013-01-15,"Tuesday"
"714","15012014",42,2014,1,15,2014-01-15,"Wednesday"
"715","15022011",40,2011,2,15,2011-02-15,"Tuesday"
"716","15022012",29,2012,2,15,2012-02-15,"Wednesday"
"717","15022013",76,2013,2,15,2013-02-15,"Friday"
"718","15022014",40,2014,2,15,2014-02-15,"Saturday"
"719","15032011",43,2011,3,15,2011-03-15,"Tuesday"
"720","15032012",68,2012,3,15,2012-03-15,"Thursday"
"721","15032013",74,2013,3,15,2013-03-15,"Friday"
"722","15032014",55,2014,3,15,2014-03-15,"Saturday"
"723","15042010",2,2010,4,15,2010-04-15,"Thursday"
"724","15042011",38,2011,4,15,2011-04-15,"Friday"
"725","15042012",47,2012,4,15,2012-04-15,"Sunday"
"726","15042013",65,2013,4,15,2013-04-15,"Monday"
"727","15042014",47,2014,4,15,2014-04-15,"Tuesday"
"728","15052010",1,2010,5,15,2010-05-15,"Saturday"
"729","15052011",26,2011,5,15,2011-05-15,"Sunday"
"730","15052012",78,2012,5,15,2012-05-15,"Tuesday"
"731","15052013",51,2013,5,15,2013-05-15,"Wednesday"
"732","15052014",1,2014,5,15,2014-05-15,"Thursday"
"733","15062010",6,2010,6,15,2010-06-15,"Tuesday"
"734","15062011",44,2011,6,15,2011-06-15,"Wednesday"
"735","15062012",51,2012,6,15,2012-06-15,"Friday"
"736","15062013",59,2013,6,15,2013-06-15,"Saturday"
"737","15072010",8,2010,7,15,2010-07-15,"Thursday"
"738","15072011",41,2011,7,15,2011-07-15,"Friday"
"739","15072012",55,2012,7,15,2012-07-15,"Sunday"
"740","15072013",88,2013,7,15,2013-07-15,"Monday"
"741","15082010",10,2010,8,15,2010-08-15,"Sunday"
"742","15082011",47,2011,8,15,2011-08-15,"Monday"
"743","15082012",103,2012,8,15,2012-08-15,"Wednesday"
"744","15082013",83,2013,8,15,2013-08-15,"Thursday"
"745","15092010",13,2010,9,15,2010-09-15,"Wednesday"
"746","15092011",43,2011,9,15,2011-09-15,"Thursday"
"747","15092012",75,2012,9,15,2012-09-15,"Saturday"
"748","15092013",59,2013,9,15,2013-09-15,"Sunday"
"749","15102009",1,2009,10,15,2009-10-15,"Thursday"
"750","15102010",8,2010,10,15,2010-10-15,"Friday"
"751","15102011",30,2011,10,15,2011-10-15,"Saturday"
"752","15102012",35,2012,10,15,2012-10-15,"Monday"
"753","15102013",40,2013,10,15,2013-10-15,"Tuesday"
"754","15112010",8,2010,11,15,2010-11-15,"Monday"
"755","15112011",39,2011,11,15,2011-11-15,"Tuesday"
"756","15112012",72,2012,11,15,2012-11-15,"Thursday"
"757","15112013",45,2013,11,15,2013-11-15,"Friday"
"758","15122010",33,2010,12,15,2010-12-15,"Wednesday"
"759","15122011",55,2011,12,15,2011-12-15,"Thursday"
"760","15122012",65,2012,12,15,2012-12-15,"Saturday"
"761","15122013",44,2013,12,15,2013-12-15,"Sunday"
"762","16012011",27,2011,1,16,2011-01-16,"Sunday"
"763","16012012",29,2012,1,16,2012-01-16,"Monday"
"764","16012013",69,2013,1,16,2013-01-16,"Wednesday"
"765","16012014",39,2014,1,16,2014-01-16,"Thursday"
"766","16022010",2,2010,2,16,2010-02-16,"Tuesday"
"767","16022011",50,2011,2,16,2011-02-16,"Wednesday"
"768","16022012",56,2012,2,16,2012-02-16,"Thursday"
"769","16022013",66,2013,2,16,2013-02-16,"Saturday"
"770","16022014",45,2014,2,16,2014-02-16,"Sunday"
"771","16032010",1,2010,3,16,2010-03-16,"Tuesday"
"772","16032011",47,2011,3,16,2011-03-16,"Wednesday"
"773","16032012",60,2012,3,16,2012-03-16,"Friday"
"774","16032013",54,2013,3,16,2013-03-16,"Saturday"
"775","16032014",46,2014,3,16,2014-03-16,"Sunday"
"776","16042011",23,2011,4,16,2011-04-16,"Saturday"
"777","16042012",59,2012,4,16,2012-04-16,"Monday"
"778","16042013",68,2013,4,16,2013-04-16,"Tuesday"
"779","16042014",60,2014,4,16,2014-04-16,"Wednesday"
"780","16052011",51,2011,5,16,2011-05-16,"Monday"
"781","16052012",77,2012,5,16,2012-05-16,"Wednesday"
"782","16052013",74,2013,5,16,2013-05-16,"Thursday"
"783","16062010",1,2010,6,16,2010-06-16,"Wednesday"
"784","16062011",40,2011,6,16,2011-06-16,"Thursday"
"785","16062012",63,2012,6,16,2012-06-16,"Saturday"
"786","16062013",62,2013,6,16,2013-06-16,"Sunday"
"787","16072010",6,2010,7,16,2010-07-16,"Friday"
"788","16072011",41,2011,7,16,2011-07-16,"Saturday"
"789","16072012",91,2012,7,16,2012-07-16,"Monday"
"790","16072013",64,2013,7,16,2013-07-16,"Tuesday"
"791","16082010",9,2010,8,16,2010-08-16,"Monday"
"792","16082011",71,2011,8,16,2011-08-16,"Tuesday"
"793","16082012",42,2012,8,16,2012-08-16,"Thursday"
"794","16082013",74,2013,8,16,2013-08-16,"Friday"
"795","16092010",6,2010,9,16,2010-09-16,"Thursday"
"796","16092011",41,2011,9,16,2011-09-16,"Friday"
"797","16092012",59,2012,9,16,2012-09-16,"Sunday"
"798","16092013",69,2013,9,16,2013-09-16,"Monday"
"799","16102011",33,2011,10,16,2011-10-16,"Sunday"
"800","16102012",61,2012,10,16,2012-10-16,"Tuesday"
"801","16102013",61,2013,10,16,2013-10-16,"Wednesday"
"802","16112010",11,2010,11,16,2010-11-16,"Tuesday"
"803","16112011",50,2011,11,16,2011-11-16,"Wednesday"
"804","16112012",49,2012,11,16,2012-11-16,"Friday"
"805","16112013",59,2013,11,16,2013-11-16,"Saturday"
"806","16122009",1,2009,12,16,2009-12-16,"Wednesday"
"807","16122010",24,2010,12,16,2010-12-16,"Thursday"
"808","16122011",42,2011,12,16,2011-12-16,"Friday"
"809","16122012",40,2012,12,16,2012-12-16,"Sunday"
"810","16122013",32,2013,12,16,2013-12-16,"Monday"
"811","17012011",13,2011,1,17,2011-01-17,"Monday"
"812","17012012",32,2012,1,17,2012-01-17,"Tuesday"
"813","17012013",59,2013,1,17,2013-01-17,"Thursday"
"814","17012014",53,2014,1,17,2014-01-17,"Friday"
"815","17022011",27,2011,2,17,2011-02-17,"Thursday"
"816","17022012",34,2012,2,17,2012-02-17,"Friday"
"817","17022013",47,2013,2,17,2013-02-17,"Sunday"
"818","17022014",43,2014,2,17,2014-02-17,"Monday"
"819","17032010",1,2010,3,17,2010-03-17,"Wednesday"
"820","17032011",35,2011,3,17,2011-03-17,"Thursday"
"821","17032012",49,2012,3,17,2012-03-17,"Saturday"
"822","17032013",79,2013,3,17,2013-03-17,"Sunday"
"823","17032014",46,2014,3,17,2014-03-17,"Monday"
"824","17042011",26,2011,4,17,2011-04-17,"Sunday"
"825","17042012",60,2012,4,17,2012-04-17,"Tuesday"
"826","17042013",67,2013,4,17,2013-04-17,"Wednesday"
"827","17042014",15,2014,4,17,2014-04-17,"Thursday"
"828","17052010",2,2010,5,17,2010-05-17,"Monday"
"829","17052011",45,2011,5,17,2011-05-17,"Tuesday"
"830","17052012",80,2012,5,17,2012-05-17,"Thursday"
"831","17052013",57,2013,5,17,2013-05-17,"Friday"
"832","17052014",1,2014,5,17,2014-05-17,"Saturday"
"833","17062010",16,2010,6,17,2010-06-17,"Thursday"
"834","17062011",42,2011,6,17,2011-06-17,"Friday"
"835","17062012",56,2012,6,17,2012-06-17,"Sunday"
"836","17062013",97,2013,6,17,2013-06-17,"Monday"
"837","17072010",5,2010,7,17,2010-07-17,"Saturday"
"838","17072011",21,2011,7,17,2011-07-17,"Sunday"
"839","17072012",51,2012,7,17,2012-07-17,"Tuesday"
"840","17072013",63,2013,7,17,2013-07-17,"Wednesday"
"841","17082010",7,2010,8,17,2010-08-17,"Tuesday"
"842","17082011",50,2011,8,17,2011-08-17,"Wednesday"
"843","17082012",50,2012,8,17,2012-08-17,"Friday"
"844","17082013",72,2013,8,17,2013-08-17,"Saturday"
"845","17092010",9,2010,9,17,2010-09-17,"Friday"
"846","17092011",38,2011,9,17,2011-09-17,"Saturday"
"847","17092012",76,2012,9,17,2012-09-17,"Monday"
"848","17092013",93,2013,9,17,2013-09-17,"Tuesday"
"849","17102010",1,2010,10,17,2010-10-17,"Sunday"
"850","17102011",40,2011,10,17,2011-10-17,"Monday"
"851","17102012",62,2012,10,17,2012-10-17,"Wednesday"
"852","17102013",81,2013,10,17,2013-10-17,"Thursday"
"853","17112010",13,2010,11,17,2010-11-17,"Wednesday"
"854","17112011",39,2011,11,17,2011-11-17,"Thursday"
"855","17112012",38,2012,11,17,2012-11-17,"Saturday"
"856","17112013",40,2013,11,17,2013-11-17,"Sunday"
"857","17122009",1,2009,12,17,2009-12-17,"Thursday"
"858","17122010",30,2010,12,17,2010-12-17,"Friday"
"859","17122011",32,2011,12,17,2011-12-17,"Saturday"
"860","17122012",70,2012,12,17,2012-12-17,"Monday"
"861","17122013",36,2013,12,17,2013-12-17,"Tuesday"
"862","18012011",23,2011,1,18,2011-01-18,"Tuesday"
"863","18012012",49,2012,1,18,2012-01-18,"Wednesday"
"864","18012013",66,2013,1,18,2013-01-18,"Friday"
"865","18012014",34,2014,1,18,2014-01-18,"Saturday"
"866","18022011",47,2011,2,18,2011-02-18,"Friday"
"867","18022012",45,2012,2,18,2012-02-18,"Saturday"
"868","18022013",64,2013,2,18,2013-02-18,"Monday"
"869","18022014",46,2014,2,18,2014-02-18,"Tuesday"
"870","18032010",1,2010,3,18,2010-03-18,"Thursday"
"871","18032011",39,2011,3,18,2011-03-18,"Friday"
"872","18032012",62,2012,3,18,2012-03-18,"Sunday"
"873","18032013",68,2013,3,18,2013-03-18,"Monday"
"874","18032014",57,2014,3,18,2014-03-18,"Tuesday"
"875","18042011",49,2011,4,18,2011-04-18,"Monday"
"876","18042012",76,2012,4,18,2012-04-18,"Wednesday"
"877","18042013",47,2013,4,18,2013-04-18,"Thursday"
"878","18042014",13,2014,4,18,2014-04-18,"Friday"
"879","18052010",3,2010,5,18,2010-05-18,"Tuesday"
"880","18052011",45,2011,5,18,2011-05-18,"Wednesday"
"881","18052012",57,2012,5,18,2012-05-18,"Friday"
"882","18052013",79,2013,5,18,2013-05-18,"Saturday"
"883","18052014",1,2014,5,18,2014-05-18,"Sunday"
"884","18062011",54,2011,6,18,2011-06-18,"Saturday"
"885","18062012",84,2012,6,18,2012-06-18,"Monday"
"886","18062013",79,2013,6,18,2013-06-18,"Tuesday"
"887","18072010",5,2010,7,18,2010-07-18,"Sunday"
"888","18072011",37,2011,7,18,2011-07-18,"Monday"
"889","18072012",64,2012,7,18,2012-07-18,"Wednesday"
"890","18072013",87,2013,7,18,2013-07-18,"Thursday"
"891","18082010",7,2010,8,18,2010-08-18,"Wednesday"
"892","18082011",45,2011,8,18,2011-08-18,"Thursday"
"893","18082012",62,2012,8,18,2012-08-18,"Saturday"
"894","18082013",51,2013,8,18,2013-08-18,"Sunday"
"895","18092010",5,2010,9,18,2010-09-18,"Saturday"
"896","18092011",48,2011,9,18,2011-09-18,"Sunday"
"897","18092012",60,2012,9,18,2012-09-18,"Tuesday"
"898","18092013",91,2013,9,18,2013-09-18,"Wednesday"
"899","18102010",13,2010,10,18,2010-10-18,"Monday"
"900","18102011",48,2011,10,18,2011-10-18,"Tuesday"
"901","18102012",70,2012,10,18,2012-10-18,"Thursday"
"902","18102013",68,2013,10,18,2013-10-18,"Friday"
"903","18112009",1,2009,11,18,2009-11-18,"Wednesday"
"904","18112010",22,2010,11,18,2010-11-18,"Thursday"
"905","18112011",35,2011,11,18,2011-11-18,"Friday"
"906","18112012",40,2012,11,18,2012-11-18,"Sunday"
"907","18112013",51,2013,11,18,2013-11-18,"Monday"
"908","18122010",17,2010,12,18,2010-12-18,"Saturday"
"909","18122011",52,2011,12,18,2011-12-18,"Sunday"
"910","18122012",72,2012,12,18,2012-12-18,"Tuesday"
"911","18122013",46,2013,12,18,2013-12-18,"Wednesday"
"912","19012011",39,2011,1,19,2011-01-19,"Wednesday"
"913","19012012",60,2012,1,19,2012-01-19,"Thursday"
"914","19012013",56,2013,1,19,2013-01-19,"Saturday"
"915","19012014",52,2014,1,19,2014-01-19,"Sunday"
"916","19022011",19,2011,2,19,2011-02-19,"Saturday"
"917","19022012",41,2012,2,19,2012-02-19,"Sunday"
"918","19022013",63,2013,2,19,2013-02-19,"Tuesday"
"919","19022014",65,2014,2,19,2014-02-19,"Wednesday"
"920","19032011",30,2011,3,19,2011-03-19,"Saturday"
"921","19032012",70,2012,3,19,2012-03-19,"Monday"
"922","19032013",72,2013,3,19,2013-03-19,"Tuesday"
"923","19032014",43,2014,3,19,2014-03-19,"Wednesday"
"924","19042010",2,2010,4,19,2010-04-19,"Monday"
"925","19042011",32,2011,4,19,2011-04-19,"Tuesday"
"926","19042012",49,2012,4,19,2012-04-19,"Thursday"
"927","19042013",74,2013,4,19,2013-04-19,"Friday"
"928","19042014",4,2014,4,19,2014-04-19,"Saturday"
